max_epochs,best_response_epochs,best_response_samples,p1 avg. utility,p2 avg. utility,average utility sum
30,200,100,4.754,4.289,9.043
50,50,500,4.342,4.696,9.038
50,200,200,4.332,4.696,9.028
30,500,200,4.34,4.679,9.019
30,100,200,4.605,4.409,9.015
50,50,100,4.494,4.504,8.998
30,500,500,4.433,4.552,8.985
50,200,500,4.36,4.608,8.968
50,100,500,4.098,4.862,8.959
20,200,500,4.541,4.407,8.947
50,500,200,4.142,4.802,8.944
20,100,1000,4.13,4.812,8.942
50,500,1000,4.324,4.594,8.918
30,100,1000,4.418,4.499,8.917
30,200,1000,4.525,4.36,8.885
10,100,200,4.692,4.167,8.859
50,100,1000,4.463,4.385,8.848
30,50,200,4.595,4.224,8.819
30,50,100,4.604,4.214,8.818
10,100,100,4.507,4.3,8.808
50,200,100,4.431,4.368,8.799
30,100,500,4.576,4.221,8.796
50,100,100,4.218,4.569,8.787
10,500,1000,4.184,4.598,8.782
10,200,100,4.062,4.711,8.772
30,50,1000,4.36,4.388,8.748
20,50,100,4.375,4.357,8.731
50,200,1000,4.431,4.291,8.722
20,50,1000,4.136,4.562,8.698
30,200,200,4.282,4.411,8.693
50,50,1000,4.321,4.358,8.679
30,100,100,4.437,4.208,8.645
50,50,200,4.336,4.287,8.623
20,200,1000,4.542,4.054,8.596
20,200,100,4.193,4.392,8.585
10,50,1000,4.47,4.114,8.584
20,50,500,4.301,4.275,8.576
10,500,100,4.0,4.561,8.56
50,100,200,4.214,4.345,8.559
30,50,500,4.316,4.243,8.558
30,500,100,4.227,4.331,8.558
10,50,200,4.496,3.999,8.495
20,200,200,4.396,4.099,8.494
20,100,500,4.42,4.073,8.493
30,500,1000,4.315,4.174,8.49
50,500,500,4.413,4.0,8.413
10,100,500,4.023,4.317,8.34
20,50,200,4.227,4.11,8.337
10,50,100,3.967,4.363,8.33
20,500,500,4.302,4.005,8.307
10,100,1000,3.882,4.411,8.293
10,200,200,3.977,4.314,8.291
20,100,200,4.16,4.104,8.264
20,500,200,4.106,4.152,8.257
20,100,100,3.88,4.336,8.216
10,500,200,4.103,4.103,8.206
20,500,100,4.005,4.136,8.14
10,200,1000,4.164,3.901,8.065
50,500,100,4.022,4.043,8.064
10,50,500,4.016,4.01,8.026
30,200,500,4.007,4.018,8.025
10,200,500,3.256,4.762,8.018
20,500,1000,4.004,4.0,8.004
10,500,500,4.001,4.0,8.001
